V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
sam 0.777777777777778 0.666666666666667 0.666666666666667 0.5 1 0.5 0.555555555555556 0.666666666666667 0.777777777777778 0.777777777777778
geode 0.777777777777778 0.5 0.888888888888889 0.833333333333333 1 1 0.444444444444444 0.555555555555556 0.666666666666667 0.888888888888889
ref 1 0.666666666666667 0.777777777777778 0.666666666666667 0.5 0.75 0.666666666666667 0.666666666666667 1 0.666666666666667
chs 0.888888888888889 0.833333333333333 1 0.5 1 0.75 0.666666666666667 0.555555555555556 0.777777777777778 0.777777777777778
form_sam-geode 0.777777777777778 0.666666666666667 0.777777777777778 0.666666666666667 1 1 0.888888888888889 0.777777777777778 0.444444444444444 1
form_ref-chs 0.666666666666667 0.5 0.777777777777778 0.5 0.75 0.75 0.555555555555556 0.888888888888889 0.555555555555556 1
form_sam-geode-ref-chs 0.666666666666667 1 0.666666666666667 0.5 1 0.75 0.555555555555556 0.444444444444444 0.777777777777778 1
consensus_sam-geode 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667 1 1 0.888888888888889 0.777777777777778 0.666666666666667 1
consensus_ref-chs 1 1 1 0.666666666666667 0.5 1 0.666666666666667 0.666666666666667 0.666666666666667 0.444444444444444
consensus_sam-geode-ref-chs 0.888888888888889 1 0.666666666666667 0.833333333333333 0.75 0.75 0.888888888888889 0.777777777777778 0.777777777777778 0.777777777777778
