@relation it57
@attribute L13923_at numeric
@attribute L33243_at numeric
@attribute U07563_cds1_at numeric
@attribute U75276_s_at numeric
@attribute CLASS {'0','1'}
@data
802,691,148,264,'0'
873,747,37,195,'0'
539,1032,-5,83,'0'
313,2489,-11,484,'0'
740,736,261,-39,'0'
1563,1129,-429,-89,'0'
345,2038,-224,454,'0'
360,1021,-516,167,'0'
436,2254,378,-15,'0'
495,1156,-396,425,'0'
146,845,-374,207,'0'
451,801,206,26,'0'
970,1381,93,446,'0'
1037,2064,-719,1365,'0'
452,2179,-880,461,'0'
314,1353,-45,408,'0'
65,898,-263,65,'0'
565,899,58,72,'0'
323,734,-62,250,'0'
112,1510,-300,54,'0'
1086,1061,-130,-35,'0'
312,1743,-103,247,'0'
416,1234,-116,-288,'0'
557,2679,-400,207,'0'
237,1037,-298,-542,'0'
215,1019,-257,300,'0'
855,546,216,458,'0'
539,1768,128,114,'0'
413,673,-65,217,'0'
425,568,52,-88,'0'
328,1458,12,112,'0'
428,1036,34,173,'0'
315,1284,256,158,'0'
352,1969,76,-73,'0'
165,1089,-452,389,'0'
509,373,-85,-41,'1'
301,419,-210,241,'1'
289,573,-54,-100,'1'
144,246,47,-24,'1'
279,779,193,206,'1'
298,711,-197,-459,'1'
301,563,55,-25,'1'
72,182,-51,25,'1'
172,967,155,-149,'1'
337,258,408,34,'1'
205,559,-71,154,'1'
243,978,339,405,'1'
207,892,173,16,'1'
147,935,120,123,'1'
245,-14,45,40,'1'
112,872,280,-297,'1'
302,-22,78,-163,'1'
405,1759,250,-264,'1'
402,5097,384,-328,'1'
