@relation it54
@attribute D43638_at numeric
@attribute S71824_at numeric
@attribute U21936_at numeric
@attribute U60519_at numeric
@attribute X02875_s_at numeric
@attribute CLASS {'0','1'}
@data
309,310,43,28,89,'0'
704,617,84,0,52,'0'
537,450,142,7,5,'0'
474,2302,-9,-3,244,'0'
1176,460,158,279,400,'0'
730,517,45,101,320,'0'
562,603,143,10,168,'0'
1710,1710,197,-137,548,'0'
254,592,170,413,311,'0'
1949,914,-120,178,294,'0'
154,692,93,4,357,'0'
242,904,109,35,133,'0'
168,864,175,53,120,'0'
1344,857,-21,95,275,'0'
704,670,67,159,268,'0'
568,1491,154,21,149,'0'
312,538,127,149,446,'0'
324,2350,241,33,125,'0'
351,833,139,23,254,'0'
672,1092,117,453,124,'0'
387,465,57,-25,225,'0'
1290,910,121,14,162,'0'
1060,773,82,189,230,'0'
199,473,68,168,173,'0'
702,870,285,198,495,'0'
171,2013,120,6,213,'0'
788,459,47,236,10,'0'
1754,563,66,-3,232,'0'
1333,610,54,200,142,'0'
383,568,115,47,119,'0'
126,725,67,102,281,'0'
830,572,62,-31,43,'0'
455,718,39,104,148,'0'
1326,448,57,98,922,'0'
884,505,250,158,280,'0'
45,237,7,18,46,'1'
1470,397,21,139,130,'1'
79,552,57,-22,64,'1'
-33,362,-9,9,476,'1'
-44,381,127,158,826,'1'
958,288,37,66,93,'1'
1093,556,157,-124,46,'1'
5,189,-4,-30,142,'1'
208,420,-42,-54,101,'1'
102,262,21,50,27,'1'
114,386,18,58,356,'1'
2511,480,26,-142,118,'1'
963,392,113,-74,117,'1'
724,881,21,98,24,'1'
177,322,104,-37,47,'1'
-57,990,98,-34,115,'1'
236,1205,101,1,130,'1'
1279,789,21,-148,130,'1'
1258,899,-17,11,35,'1'
