@relation it32
@attribute AB002315_at numeric
@attribute AC000061_cds3_at numeric
@attribute AD001527_cds1_at numeric
@attribute D14686_at numeric
@attribute D28483_at numeric
@attribute D29012_at numeric
@attribute D29956_at numeric
@attribute D31763_at numeric
@attribute D43638_at numeric
@attribute D50924_at numeric
@attribute D80004_at numeric
@attribute D83542_at numeric
@attribute HG2228-HT2305_at numeric
@attribute HG2417-HT2513_at numeric
@attribute HG2525-HT2621_at numeric
@attribute HG384-HT384_at numeric
@attribute L02840_at numeric
@attribute L13286_at numeric
@attribute L13923_at numeric
@attribute L17131_rna1_at numeric
@attribute L20773_at numeric
@attribute L27586_at numeric
@attribute L33243_at numeric
@attribute L40396_at numeric
@attribute L48513_at numeric
@attribute M11437_cds2_at numeric
@attribute M13194_at numeric
@attribute M19989_cds2_at numeric
@attribute M20530_at numeric
@attribute M23379_at numeric
@attribute M30894_at numeric
@attribute M34423_at numeric
@attribute M35252_at numeric
@attribute M37190_at numeric
@attribute M60748_at numeric
@attribute M63962_rna1_at numeric
@attribute M64347_at numeric
@attribute M73547_at numeric
@attribute M74719_at numeric
@attribute M84526_at numeric
@attribute M86868_at numeric
@attribute M98539_at numeric
@attribute S71824_at numeric
@attribute S76475_at numeric
@attribute S78187_at numeric
@attribute S78296_at numeric
@attribute U08998_at numeric
@attribute U11690_at numeric
@attribute U18018_at numeric
@attribute U21936_at numeric
@attribute U23946_at numeric
@attribute U28963_at numeric
@attribute U36448_at numeric
@attribute U37143_at numeric
@attribute U37673_at numeric
@attribute U39412_at numeric
@attribute U41737_at numeric
@attribute U50136_rna1_at numeric
@attribute U51477_at numeric
@attribute U52827_at numeric
@attribute U57877_at numeric
@attribute U70867_at numeric
@attribute U80669_at numeric
@attribute U92459_at numeric
@attribute X02152_at numeric
@attribute X12901_at numeric
@attribute X14787_at numeric
@attribute X14968_at numeric
@attribute X15882_at numeric
@attribute X16560_at numeric
@attribute X51804_at numeric
@attribute X54938_at numeric
@attribute X59656_at numeric
@attribute X68194_at numeric
@attribute X69636_at numeric
@attribute X78565_at numeric
@attribute X84740_at numeric
@attribute X91809_at numeric
@attribute X95654_at numeric
@attribute X99050_rna1_at numeric
@attribute Y07604_at numeric
@attribute Y08136_at numeric
@attribute Z56281_at numeric
@attribute Z68129_cds1_at numeric
@attribute L08895_at numeric
@attribute D86974_at numeric
@attribute AB006781_s_at numeric
@attribute D43682_s_at numeric
@attribute Y10807_s_at numeric
@attribute L08835_rna2_s_at numeric
@attribute M17863_s_at numeric
@attribute Z68280_cds2_s_at numeric
@attribute L25286_s_at numeric
@attribute X02875_s_at numeric
@attribute M29277_s_at numeric
@attribute Y10141_s_at numeric
@attribute X73358_s_at numeric
@attribute U31973_s_at numeric
@attribute U75276_s_at numeric
@attribute U40271_s_at numeric
@attribute U43747_s_at numeric
@attribute U72509_s_at numeric
@attribute U79667_s_at numeric
@attribute L20433_at numeric
@attribute X83863_at numeric
@attribute CLASS {'0','1'}
@data
622,-8,154,198,106,1150,284,249,309,73,799,979,-733,8,110,6257,383,-52,802,3978,783,104,691,32,309,-70,1506,198,44,828,53,298,-10,48,-30,74,142,972,2898,-132,-154,2623,310,1325,929,1028,375,222,343,43,576,240,145,-1,243,423,22,746,647,66,931,174,-110,-2,5342,-16,33,-109,2262,4595,375,637,-127,-92,47,142,364,186,261,143,1079,106,323,582,82,7363,-19,1148,6227,1500,527,308,85,89,160,853,784,-92,264,539,5,213,4,-111,257,'0'
3,-69,131,371,126,1964,87,125,704,99,1794,1328,-673,-8,385,5952,203,-53,873,880,541,-40,747,66,176,-40,771,537,128,663,156,743,17,76,-119,65,-46,834,3200,-199,-284,1630,617,2199,148,1502,-252,180,-344,84,692,674,-85,-39,60,692,-89,1455,122,-38,802,294,272,-61,1418,-172,35,-92,1733,1902,312,821,-224,32,499,-26,194,143,23,103,590,122,156,716,60,18584,153,2227,2379,2402,2041,1593,40,52,-120,2137,2325,-20,195,645,92,171,-143,-234,916,'0'
-29,29,160,336,172,1370,128,79,537,83,1087,654,-779,-51,490,3753,114,35,539,379,413,179,1032,17,142,43,1200,270,150,626,85,263,25,-55,29,-73,134,1799,2746,-255,-462,1793,450,429,164,3494,-189,435,565,142,713,543,-57,-17,344,777,13,276,464,-108,423,893,63,0,4433,27,35,15,3047,1091,369,65,-201,-27,326,6342,385,326,-11,199,1487,55,603,765,150,29351,179,2566,3577,1886,209,1200,41,5,-284,680,1752,-87,83,383,292,-183,2305,-401,965,'0'
527,-57,240,179,299,1774,171,1169,474,307,4272,1632,-760,258,204,6641,273,-27,313,88,1229,212,2489,76,212,175,1022,525,254,1849,82,494,13,618,-236,0,214,2282,7756,-222,-466,575,2302,2322,135,7553,-112,261,711,-9,1173,681,35,80,5,972,-177,1055,1118,163,1071,464,-92,118,1530,-23,-11,-220,527,2761,297,571,135,285,642,714,374,120,-59,135,289,61,289,1000,114,8642,143,1961,4230,1341,716,3062,53,244,202,988,3909,-19,484,187,193,191,-171,-271,953,'0'
219,-79,689,893,336,3623,403,92,1176,324,1884,937,-1109,-47,1611,9007,1894,-60,483,1420,756,279,-1872,-60,228,47,1395,422,123,1420,642,495,-57,60,-286,-1207,-31,2104,1805,-731,-1217,4240,460,85,279,6093,-931,295,562,158,473,1789,483,276,305,1249,-384,2139,572,88,788,791,174,-130,3880,-34,44,-400,263,2952,734,-187,-743,104,432,314,324,867,6,92,-241,15,1125,686,47,19010,209,2968,4027,3280,365,1659,-69,400,-387,813,2291,-73,152,-165,263,-359,-314,-333,1036,'0'
546,-65,153,1041,150,2148,222,609,730,39,4489,651,-795,75,399,3143,183,32,740,730,965,127,736,42,301,62,1080,176,68,1008,229,448,75,412,58,-337,229,998,2043,-176,-631,3808,517,707,101,1149,193,284,550,45,1018,1044,451,-13,523,982,45,1257,707,232,890,785,150,101,6139,-52,81,-85,2626,1512,373,759,-252,26,769,229,219,199,104,203,907,166,910,1175,32,7969,-9,3018,4472,2357,507,2334,32,320,108,7779,6607,-36,-39,445,173,448,-163,-235,677,'0'
194,-35,120,347,380,1699,186,30,562,117,1911,615,-1420,120,332,3383,416,58,1563,1339,592,158,1129,74,465,-99,856,247,-25,296,51,715,7,68,-127,-120,33,641,1891,-214,-608,5701,603,4587,546,1566,-125,454,452,143,884,697,240,150,516,626,-38,1080,631,229,766,482,227,68,4201,-61,160,-245,9404,868,329,15,-263,76,574,109,421,424,191,222,421,56,403,1129,89,39099,191,2570,3585,3483,1456,1121,-2,168,-56,1546,6028,-7,-89,314,43,114,477,-104,695,'0'
268,38,115,959,471,1753,263,268,1710,285,1847,2767,-3085,131,230,3316,476,-186,345,537,816,306,2038,219,219,-27,575,389,153,591,60,750,191,142,-5,-268,-21,844,1441,-937,-389,2439,1710,4697,-153,1929,-1244,471,800,197,2017,1227,1145,-208,1024,1046,-38,1710,630,158,1156,2022,158,197,3595,82,87,-142,2696,909,1293,805,-893,230,580,219,827,559,-147,317,937,-10,1030,1381,164,78252,405,4543,4845,5245,624,2192,38,548,-230,20926,8216,-142,454,1183,137,-180,4752,-772,1594,'0'
-144,-49,110,167,311,1325,205,41,254,34,1887,2228,-1891,-94,607,2612,167,22,360,440,-7,262,1021,56,288,292,1291,372,-15,615,345,618,110,41,-410,-208,53,296,1450,-550,-691,1378,592,880,-197,1758,-470,303,1150,170,569,820,-265,193,413,767,-136,922,372,201,915,732,56,-148,520,-7,15,-121,2513,941,269,205,-584,-11,539,-132,326,341,75,151,451,-212,227,1241,64,22016,102,3037,2817,2711,2361,941,37,311,-527,1321,6633,-37,167,91,189,-87,-364,-592,1112,'0'
194,-105,525,457,551,2028,373,231,1949,126,1334,3967,-1523,225,1245,1907,362,-89,436,362,777,189,2254,68,304,152,315,357,21,819,320,110,194,273,-625,-267,183,1923,2002,-215,-777,4498,914,1418,215,2138,-683,199,809,-120,693,746,788,320,709,1056,-152,2827,425,15,1297,1534,541,168,945,-189,152,-520,425,966,310,877,-625,-73,483,73,793,546,15,-15,646,89,478,945,-26,18538,304,3473,4477,3168,415,2664,183,294,-383,11471,5785,-5,-15,1056,310,-688,1434,-535,3520,'0'
