@relation it36
@attribute S71824_at numeric
@attribute U28963_at numeric
@attribute X59656_at numeric
@attribute D17793_at numeric
@attribute CLASS {'0','1'}
@data
310,240,-127,9,'0'
617,674,-224,79,'0'
450,543,-201,-29,'0'
460,1789,-743,28,'0'
603,697,-263,12,'0'
1710,1227,-893,98,'0'
592,820,-584,-34,'0'
914,746,-625,131,'0'
692,646,-446,26,'0'
488,471,-86,48,'0'
568,582,-122,62,'0'
904,360,-105,254,'0'
864,647,-265,-32,'0'
857,772,-677,444,'0'
670,729,-779,-318,'0'
1491,605,-157,312,'0'
538,152,-326,149,'0'
2350,725,-120,207,'0'
833,709,-169,66,'0'
465,492,-165,104,'0'
910,666,-241,-56,'0'
773,717,-279,142,'0'
473,455,-241,-5,'0'
870,1201,-977,128,'0'
2013,443,-972,34,'0'
1363,1216,-159,-9,'0'
563,817,-15,9,'0'
610,455,-151,-12,'0'
823,1036,-173,20,'0'
568,450,-90,130,'0'
725,698,-65,44,'0'
572,529,-32,14,'0'
718,556,-133,130,'0'
448,545,-64,165,'0'
505,498,-310,42,'0'
237,613,-118,43,'1'
397,419,-476,-6,'1'
552,352,-248,-13,'1'
362,371,-443,-63,'1'
381,819,-533,-184,'1'
675,417,-18,-21,'1'
288,392,-177,-24,'1'
255,283,-67,73,'1'
189,345,-107,15,'1'
420,542,-258,-24,'1'
262,263,31,25,'1'
480,280,69,54,'1'
392,211,-26,5,'1'
881,316,96,-52,'1'
322,386,-49,40,'1'
990,450,17,-49,'1'
789,733,81,-102,'1'
899,1059,-20,-2,'1'
