V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
sam 0.5 0.5 0.875 0.5 0.5 0.375 0.5 0.833333333333333 1 1
geode 0.5 0.875 0.75 0.75 1 0.75 0.875 0.583333333333333 0.875 0.875
ref 0.875 0.5 0.75 1 0.5 0.75 0.5 1 0.75 0.75
chs 0.625 0.5 0.875 0.75 0.5 0.375 0.5 0.75 1 1
form_sam-geode 0.625 0.75 0.75 0.5 0.5 0.75 0.625 0.75 0.625 1
form_ref-chs 0.75 0.75 0.625 0.75 0.5 0.625 0.5 0.666666666666667 0.875 0.5
form_sam-geode-ref-chs 0.5 0.625 0.75 0.625 1 0.625 0.625 0.75 0.625 0.5
consensus_sam-geode 0.75 0.625 0.75 0.75 0.666666666666667 0.625 0.5 0.666666666666667 0.5 1
consensus_ref-chs 0.75 0.75 0.5 1 0.833333333333333 0.5 0.625 0.666666666666667 0.75 0.5
consensus_sam-geode-ref-chs 0.75 0.75 0.75 0.75 1 0.5 0.75 0.5 0.75 0.75
