V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
sam 1 0.916666666666667 1 0.916666666666667 0.571428571428571 1 1 1 1 1
geode 0.833333333333333 1 0.833333333333333 1 0.857142857142857 0.5 1 0.6 1 1
ref 0.75 1 1 0.75 0.857142857142857 0.75 1 1 1 1
chs 1 0.916666666666667 0.916666666666667 0.75 1 1 1 1 1 1
form_sam-geode 1 1 1 1 0.571428571428571 0.75 1 0.9 1 0.583333333333333
form_ref-chs 0.833333333333333 1 1 0.833333333333333 0.857142857142857 1 1 1 1 1
form_sam-geode-ref-chs 0.833333333333333 0.916666666666667 1 1 0.714285714285714 1 1 1 1 1
consensus_sam-geode 0.583333333333333 0.916666666666667 1 0.833333333333333 0.571428571428571 1 0.916666666666667 1 1 1
consensus_ref-chs 1 0.833333333333333 0.916666666666667 0.5 0.857142857142857 1 1 1 1 0.916666666666667
consensus_sam-geode-ref-chs 1 0.916666666666667 0.833333333333333 1 0.857142857142857 1 1 1 1 1
