V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
sam 1 1 0.916666666666667 1 1 1 1 1 0.916666666666667 0.666666666666667
geode 1 1 0.916666666666667 1 1 1 1 1 1 0.944444444444444
ref 1 1 0.916666666666667 1 1 1 1 1 1 0.777777777777778
chs 1 1 0.916666666666667 1 1 1 1 1 1 1
form_sam-geode 1 1 0.916666666666667 1 1 1 1 1 1 0.666666666666667
form_ref-chs 1 1 0.916666666666667 1 1 1 1 1 1 0.944444444444444
form_sam-geode-ref-chs 1 1 0.916666666666667 1 1 1 1 1 1 0.833333333333333
consensus_sam-geode 1 1 0.916666666666667 1 1 1 1 1 1 0.666666666666667
consensus_ref-chs 1 1 0.916666666666667 1 1 1 1 1 1 0.944444444444444
consensus_sam-geode-ref-chs 1 1 0.916666666666667 1 1 1 1 1 1 0.722222222222222
