ID_REF	VALUE
1007_s_at	8.718310193
1053_at	6.720134866
117_at	6.757335772
121_at	7.382381318
1255_g_at	2.961508071
1294_at	7.953700386
1316_at	4.951264111
1320_at	4.975026325
1405_i_at	7.852904294
1431_at	3.778819034
1438_at	5.617936098
1487_at	6.855150381
1494_f_at	5.250602087
1552256_a_at	7.733255127
1552257_a_at	7.554595735
1552258_at	6.007703236
1552261_at	4.993024123
1552263_at	7.007440488
1552264_a_at	7.782991261
1552266_at	3.762491242
1552269_at	3.554501955
1552271_at	4.764317392
1552272_a_at	5.243950651
1552274_at	7.806935369
1552275_s_at	6.862127438
1552276_a_at	5.24268319
1552277_a_at	7.168199937
1552278_a_at	4.912643703
1552279_a_at	6.384044791
1552280_at	6.720808477
1552281_at	6.743352114
1552283_s_at	5.321567624
1552286_at	4.710174103
1552287_s_at	7.280179483
1552288_at	4.815577423
1552289_a_at	6.249420964
1552291_at	5.676626754
1552293_at	4.201805509
1552295_a_at	7.039681224
1552296_at	3.359151779
1552299_at	3.401770318
1552301_a_at	4.819035024
1552302_at	5.966764586
1552303_a_at	5.605802543
1552304_at	3.482605659
1552306_at	3.287446944
1552307_a_at	5.890117244
1552309_a_at	8.515514101
1552310_at	6.126901384
1552311_a_at	6.2881839
1552312_a_at	6.813711092
1552314_a_at	3.826522808
1552315_at	7.052731568
1552316_a_at	7.326268602
1552318_at	7.007336584
1552319_a_at	3.640370746
1552320_a_at	2.98753537
1552321_a_at	2.794558922
1552322_at	3.130443185
1552323_s_at	4.764632895
1552325_at	2.465440555
1552326_a_at	4.001612961
1552327_at	3.760131834
1552329_at	6.806560099
1552330_at	4.400251597
1552332_at	6.628923387
1552334_at	5.663029026
1552335_at	5.375520605
1552337_s_at	4.86102626
1552338_at	4.003623216
1552340_at	4.023221757
1552343_s_at	6.977406553
1552344_s_at	5.51328154
1552347_at	7.550427596
1552348_at	5.479565558
1552349_a_at	4.390551786
1552354_at	4.825072937
1552355_s_at	5.409495036
1552359_at	3.156889722
1552360_a_at	5.480362815
1552362_a_at	5.487515983
1552364_s_at	4.713313603
1552365_at	6.531017401
1552367_a_at	4.931695864
1552368_at	3.272383082
1552370_at	5.943469769
1552372_at	2.654336474
1552373_s_at	2.789845121
1552375_at	4.546409047
1552377_s_at	6.217021591
1552378_s_at	5.142190138
1552379_at	2.503439715
1552381_at	3.052637839
1552383_at	6.173790547
1552384_a_at	4.817663032
1552386_at	7.068119431
1552388_at	4.956417358
1552389_at	2.923352816
1552390_a_at	4.428140322
1552391_at	3.309896918
1552393_at	2.65263972
1552394_a_at	2.922088958
1552395_at	6.666286021
1552396_at	4.173762467
1552398_a_at	6.708607939
1552399_a_at	3.547956786
1552400_a_at	3.871655453
1552401_a_at	3.149661921
1552402_at	3.919415479
1552405_at	4.086809075
1552408_at	2.900590879
1552409_a_at	5.374925986
1552410_at	5.029618472
1552411_at	6.328366876
1552412_a_at	3.249089047
1552414_at	3.706624595
1552415_a_at	3.171284356
1552417_a_at	4.580960669
1552418_at	5.415265495
1552419_s_at	5.69003175
1552421_a_at	2.788877427
1552422_at	4.787501796
1552423_at	6.797997236
1552424_at	2.956150653
1552425_a_at	3.2236974
1552426_a_at	8.546485477
1552427_at	3.059730889
1552430_at	3.024048483
1552432_at	4.856758657
1552436_a_at	3.918678935
1552438_a_at	2.990975499
1552439_s_at	2.968875528
1552440_at	4.627749857
1552445_a_at	3.418809774
1552448_a_at	3.194752715
1552449_a_at	3.39015856
1552450_a_at	4.876154497
1552452_at	3.526988278
1552453_a_at	3.408872361
1552455_at	4.960536616
1552456_a_at	3.914677958
1552457_a_at	3.34964399
1552458_at	3.017973905
1552459_a_at	4.396818064
1552461_at	2.816894251
1552463_at	3.444991555
1552466_x_at	2.687080671
1552467_at	6.302539772
1552468_a_at	4.587252321
1552470_a_at	4.012150531
1552472_a_at	6.730188573
1552473_at	7.228696521
1552474_a_at	6.295792592
1552476_s_at	6.145607561
1552477_a_at	5.718198024
1552478_a_at	3.651715607
1552480_s_at	3.918678935
1552481_s_at	4.257641933
1552482_at	5.092980141
1552484_at	5.113369989
1552485_at	6.444191689
1552486_s_at	5.642394385
1552487_a_at	2.63075271
1552489_s_at	2.724662063
1552490_at	3.482350464
1552491_at	5.129095995
1552493_s_at	4.302447214
1552494_at	4.219610844
1552496_a_at	3.504787443
1552497_a_at	7.045571811
1552498_at	3.78058994
1552499_a_at	3.807038907
1552501_a_at	6.276111731
1552502_s_at	4.050152706
1552503_at	4.30448354
1552504_a_at	6.163243138
1552506_at	3.619665285
1552507_at	5.956159209
1552508_at	6.077141428
1552509_a_at	5.001631949
1552510_at	7.280324707
1552511_a_at	2.716651404
1552514_at	3.582553813
1552515_at	3.923616853
1552516_a_at	6.65137168
1552518_s_at	3.594735756
1552519_at	6.744679018
1552520_at	3.074367651
1552521_a_at	2.788054651
1552522_at	2.534851477
1552523_a_at	3.732717876
1552524_at	5.862359115
1552526_at	3.794455906
1552528_at	6.10804406
1552531_a_at	3.726235781
1552532_a_at	3.257728582
1552535_at	5.198956304
1552536_at	6.379337468
1552538_a_at	3.013108498
1552540_s_at	4.330670576
1552541_at	6.353128946
1552542_s_at	5.641484388
1552543_a_at	4.104053745
1552544_at	4.232067329
1552546_a_at	3.684008954
1552548_at	4.07777348
1552549_a_at	4.91654426
1552552_s_at	3.10310499
1552553_a_at	6.997099544
1552554_a_at	4.797549796
1552555_at	5.778296395
1552557_a_at	3.121880289
1552558_a_at	6.045309077
1552559_a_at	3.878232896
1552562_at	4.189394864
1552563_a_at	6.183823318
1552564_at	3.447109008
1552566_at	3.49836145
1552568_at	4.138092099
1552569_a_at	3.610261013
1552570_at	2.990829816
1552572_a_at	2.572452046
1552573_s_at	3.45433432
1552575_a_at	5.940249745
1552576_at	3.932562947
1552578_a_at	2.98859634
1552579_a_at	4.148789653
1552580_at	4.352188897
1552582_at	3.384086472
1552583_s_at	3.544515908
1552584_at	6.582448942
1552585_s_at	3.142922532
1552586_at	5.099719302
1552587_at	2.575726445
1552588_a_at	2.939039078
1552590_a_at	2.896172048
1552592_at	2.596874047
1552594_at	5.348163314
1552596_at	6.334355059
1552598_at	4.242417989
1552599_at	3.230104479
1552602_at	4.725966259
1552604_at	3.865705748
1552605_s_at	3.475295401
1552607_at	4.972537593
1552608_at	4.361357898
1552609_s_at	3.150083495
1552610_a_at	9.192582414
1552611_a_at	7.246603107
1552612_at	7.03016058
1552613_s_at	6.707657599
1552615_at	7.351727363
1552616_a_at	5.63934646
1552617_a_at	7.58252889
1552618_at	7.322000889
1552619_a_at	5.70209276
1552620_at	7.03294183
1552621_at	8.866443185
1552622_s_at	7.884464802
1552623_at	5.349741064
1552625_a_at	6.477977886
1552626_a_at	6.39092277
1552627_a_at	5.553528102
1552628_a_at	8.854815711
1552629_a_at	3.690994539
1552630_a_at	4.266454188
1552631_a_at	5.322054989
1552632_a_at	4.139100754
1552633_at	4.916506174
1552634_a_at	5.554567549
1552637_at	3.485321425
1552639_at	5.308842084
1552641_s_at	5.871625709
1552643_at	5.663379003
1552644_a_at	5.584870151
1552646_at	5.243728016
1552648_a_at	5.554872844
1552649_a_at	4.36295162
1552651_a_at	4.645789658
1552652_at	6.348674069
1552656_s_at	6.316392005
1552657_a_at	4.843732303
1552658_a_at	6.099840206
1552660_a_at	5.310703762
1552661_at	2.504758434
1552662_a_at	4.335657595
1552663_a_at	7.228370606
1552664_at	5.98055133
1552665_at	4.486278849
1552666_a_at	2.779145058
1552667_a_at	6.178202795
1552669_at	4.244398309
1552670_a_at	6.118155037
1552671_a_at	4.833500299
1552672_a_at	4.161236899
1552673_at	3.675312127
1552674_at	2.86222824
1552675_at	2.625060573
1552676_at	5.041039684
1552677_a_at	5.366029994
1552678_a_at	5.144871974
1552680_a_at	4.156413698
1552682_a_at	3.509459505
1552684_a_at	3.776384258
1552685_a_at	4.841931864
1552686_at	4.265543362
1552687_a_at	3.826761968
1552689_at	5.343123657
1552690_a_at	4.732135999
1552691_at	4.797549796
1552693_at	2.869115117
1552694_at	2.941587208
1552695_a_at	4.761461372
1552696_at	3.995618347
1552698_at	5.020622635
1552701_a_at	8.682302531
1552703_s_at	8.549066219
1552705_at	3.179688725
1552708_a_at	3.032938036
1552711_a_at	6.979446152
1552712_a_at	5.16902377
1552713_a_at	3.953316008
1552714_at	3.289520577
1552715_a_at	3.196349336
1552716_at	5.006052606
1552717_s_at	5.683315378
1552718_at	4.932380616
1552719_at	5.643827675
1552721_a_at	3.386464238
1552722_at	2.495142315
1552724_at	5.545535382
1552725_s_at	4.091706865
1552726_at	4.119209729
1552727_s_at	4.072070479
1552729_at	5.083633339
1552730_at	3.961910182
1552731_at	3.284688282
1552732_at	3.432841058
1552733_at	6.52122322
1552734_at	3.414224002
1552735_at	5.250939572
1552736_a_at	3.87348448
1552737_s_at	4.422445478
1552738_a_at	3.112823779
1552739_s_at	5.318850998
1552740_at	2.873118433
1552742_at	3.856406284
1552743_at	3.288208062
1552745_at	3.24278501
1552747_a_at	2.842753734
1552749_a_at	7.462336583
1552750_at	3.126081337
1552751_a_at	4.888643
1552752_a_at	3.54281895
1552754_a_at	2.963633859
1552755_at	4.452652512
1552757_s_at	3.360965973
1552758_at	3.700690663
1552760_at	3.858920116
1552761_at	5.539617354
1552763_at	2.678124718
1552765_x_at	2.698011742
1552766_at	3.054224668
1552767_a_at	4.920611976
1552768_at	5.713785733
1552769_at	3.443978572
1552770_s_at	4.306044009
1552771_a_at	3.342938945
1552772_at	4.451229063
1552773_at	4.118016192
1552774_a_at	5.082458032
1552775_at	4.525333858
1552777_a_at	3.382837992
1552779_a_at	3.205676236
1552782_at	2.872943315
1552783_at	2.616018326
1552785_at	3.225652293
1552787_at	3.783059953
1552788_a_at	5.136812633
1552789_at	4.687965952
1552790_a_at	7.35330826
1552791_a_at	2.786364134
1552792_at	3.923628552
1552793_at	4.547359833
1552794_a_at	3.455650246
1552796_a_at	3.736917571
1552797_s_at	6.904511
1552798_a_at	8.092318008
1552799_at	4.559033812
1552800_at	6.182858931
1552801_at	3.799712027
1552803_a_at	3.222659971
1552804_a_at	5.242198044
1552806_a_at	5.608316511
1552807_a_at	8.347130429
1552808_at	2.906724715
1552809_at	2.965587669
1552811_at	5.431944822
1552812_a_at	5.853503462
1552813_at	4.445540989
1552814_a_at	4.164772669
1552816_at	2.771191479
1552818_a_at	3.124954738
1552819_at	4.359917605
1552822_at	3.507060282
1552825_at	2.965588879
1552826_at	2.978938577
1552827_s_at	3.353291679
1552828_at	3.674738506
1552829_at	6.959025022
1552830_at	3.55181723
1552833_at	4.18737373
1552834_at	5.000694331
1552835_at	3.452037532
1552836_at	5.628738846
1552837_at	2.477366073
1552839_at	4.072470701
1552841_s_at	3.398608303
1552842_at	3.921743273
1552843_at	3.147650798
1552845_at	5.682550178
1552846_s_at	6.950964073
1552848_a_at	3.611511148
1552849_at	3.315697546
1552851_at	3.208333469
1552852_a_at	3.207201134
1552853_at	4.192809299
1552854_a_at	3.910487883
1552856_at	3.426552756
1552857_a_at	3.903758846
1552858_at	2.455442197
1552860_at	4.029579506
1552862_at	4.850087008
1552863_a_at	6.454316783
1552865_a_at	4.700511726
1552867_at	5.409606136
1552868_at	5.807928759
1552870_s_at	2.669688975
1552872_at	5.288793079
1552873_s_at	5.508977431
1552875_a_at	3.833319027
1552876_at	3.270037063
1552877_s_at	3.957083695
1552878_at	2.514624471
1552879_a_at	3.140366478
1552880_at	4.106590364
1552882_a_at	4.022384263
1552884_at	4.604264573
1552885_a_at	6.199192109
1552887_at	4.8499209
1552889_a_at	7.368777684
1552890_a_at	3.962074288
1552892_at	5.591760303
1552893_at	5.351561088
1552895_a_at	3.385426801
1552897_a_at	2.963295835
1552898_a_at	3.301780594
1552899_at	3.074800332
1552900_a_at	2.841324502
1552902_a_at	4.437049541
1552903_at	3.591452332
1552904_at	2.683532618
1552906_at	2.496471832
1552908_at	3.069541849
1552910_at	4.395060335
1552911_at	5.199346323
1552912_a_at	2.979001037
1552913_at	2.688257584
1552914_a_at	5.927484878
1552915_at	3.724336946
1552917_at	4.717589735
1552919_at	3.027938541
1552921_a_at	5.013251222
1552922_at	2.733034672
1552923_a_at	3.952614896
1552924_a_at	5.166565992
1552925_at	3.712310026
