Reporter Identifier	VALUE
DAP1_0003	12
DAP1_0010	12.03
DAP1_0021	11.38
DAP1_0023	9.55
DAP1_0027	8.56
DAP1_0028	8.04
DAP1_0030	12.02
DAP1_0031	12.76
DAP1_0033	10.77
DAP1_0036	9.61
DAP1_0038	9.86
DAP1_0040	13.27
DAP1_0041	9.76
DAP1_0042	10.96
DAP1_0050	12.17
DAP1_0051	8.62
DAP1_0054	10.68
DAP1_0056	9.15
DAP1_0061	9.8
DAP1_0062	10.03
DAP1_0063	11.28
DAP1_0066	12.43
DAP1_0067	11.7
DAP1_0069	8.56
DAP1_0070	11.68
DAP1_0074	11.46
DAP1_0075	10.81
DAP1_0080	8.54
DAP1_0087	8.1
DAP1_0096	8.75
DAP1_0101	8.62
DAP1_0102	11.03
DAP1_0103	12.61
DAP1_0105	8.54
DAP1_0109	9.42
DAP1_0110	8
DAP1_0111	10.47
DAP1_0113	12.69
DAP1_0119	7.97
DAP1_0121	9.42
DAP1_0122	9.27
DAP1_0124	13.89
DAP1_0125	9.97
DAP1_0130	10.81
DAP1_0140	11.95
DAP1_0147	10.9
DAP1_0152	12.27
DAP1_0153	8.71
DAP1_0154	14.12
DAP1_0162	10.89
DAP1_0171	11.25
DAP1_0172	12.74
DAP1_0174	12.83
DAP1_0178	8.35
DAP1_0182	12.41
DAP1_0185	12.67
DAP1_0186	8.8
DAP1_0205	12.72
DAP1_0206	11.12
DAP1_0208	11.49
DAP1_0209	11.9
DAP1_0210	9.72
DAP1_0213	8.87
DAP1_0215	8.75
DAP1_0220	13.28
DAP1_0223	11.66
DAP1_0230	8.79
DAP1_0233	13.29
DAP1_0234	12.12
DAP1_0240	10.84
DAP1_0247	11.07
DAP1_0256	13.02
DAP1_0261	11.57
DAP1_0263	10.69
DAP1_0265	10.74
DAP1_0269	9.52
DAP1_0270	12.1
DAP1_0273	13.12
DAP1_0285	13.16
DAP1_0296	9.87
DAP1_0300	9.19
DAP1_0312	13.63
DAP1_0315	8.93
DAP1_0331	10.55
DAP1_0341	11.89
DAP1_0361	13.29
DAP1_0368	10.99
DAP1_0377	10.48
DAP1_0398	14.02
DAP1_0401	12.24
DAP1_0403	8.6
DAP1_0427	12.15
DAP1_0430	11.59
DAP1_0433	8.32
DAP1_0437	12.47
DAP1_0442	10.4
DAP1_0453	12.33
DAP1_0460	8.28
DAP1_0480	12.07
DAP1_0482	10.58
DAP1_0509	12.67
DAP1_0515	10.31
DAP1_0542	10.22
DAP1_0559	9.4
DAP1_0581	11.37
DAP1_0585	8.66
DAP1_0587	8.29
DAP1_0594	13.4
DAP1_0601	8.16
DAP1_0605	12.35
DAP1_0606	10.06
DAP1_0607	9.16
DAP1_0609	14.17
DAP1_0614	8.54
DAP1_0619	10.65
DAP1_0620	14.26
DAP1_0623	11.65
DAP1_0629	14.06
DAP1_0630	9.56
DAP1_0631	11.98
DAP1_0634	11.62
DAP1_0636	12.33
DAP1_0648	10.58
DAP1_0649	12.77
DAP1_0651	11.08
DAP1_0654	9.92
DAP1_0656	12.81
DAP1_0657	11.96
