Reporter Identifier	VALUE
DAP1_0003	11.58
DAP1_0010	12.68
DAP1_0021	8.82
DAP1_0023	8.72
DAP1_0027	10.32
DAP1_0028	8.76
DAP1_0030	11.8
DAP1_0031	12.92
DAP1_0033	9.62
DAP1_0036	8.65
DAP1_0038	9.12
DAP1_0040	13.6
DAP1_0041	9.69
DAP1_0042	11.12
DAP1_0050	12.75
DAP1_0051	8.24
DAP1_0054	10.28
DAP1_0056	11.58
DAP1_0061	9.91
DAP1_0062	8.48
DAP1_0063	10.01
DAP1_0066	11.97
DAP1_0067	12.74
DAP1_0069	9.87
DAP1_0070	12.51
DAP1_0074	11.62
DAP1_0075	11.67
DAP1_0080	8.43
DAP1_0087	9.12
DAP1_0096	8.25
DAP1_0101	8.5
DAP1_0102	12.19
DAP1_0103	12.52
DAP1_0105	9.99
DAP1_0109	9.03
DAP1_0110	7.98
DAP1_0111	10.31
DAP1_0113	12.02
DAP1_0119	9.53
DAP1_0121	8.34
DAP1_0122	9.6
DAP1_0124	12.69
DAP1_0125	8.53
DAP1_0130	10.85
DAP1_0140	11.88
DAP1_0147	10.6
DAP1_0152	12.55
DAP1_0153	9.23
DAP1_0154	13.73
DAP1_0162	11.5
DAP1_0171	11.27
DAP1_0172	13.69
DAP1_0174	13.68
DAP1_0178	8.48
DAP1_0182	11.9
DAP1_0185	10.82
DAP1_0186	9.84
DAP1_0205	13.12
DAP1_0206	11.24
DAP1_0208	10.69
DAP1_0209	11.38
DAP1_0210	8.66
DAP1_0213	8.31
DAP1_0215	8.2
DAP1_0220	13.82
DAP1_0223	11.57
DAP1_0230	8.83
DAP1_0233	12.7
DAP1_0234	12.65
DAP1_0240	11.39
DAP1_0247	12.08
DAP1_0256	13.3
DAP1_0261	11.81
DAP1_0263	9.98
DAP1_0265	11.42
DAP1_0269	9.62
DAP1_0270	12.07
DAP1_0273	12.74
DAP1_0285	12.98
DAP1_0296	8.38
DAP1_0300	11.69
DAP1_0312	13.32
DAP1_0315	9.48
DAP1_0331	12.57
DAP1_0341	11.19
DAP1_0361	12.81
DAP1_0368	12.8
DAP1_0377	12.02
DAP1_0398	13.2
DAP1_0401	12.76
DAP1_0403	8.6
DAP1_0427	12.05
DAP1_0430	10.37
DAP1_0433	8.57
DAP1_0437	11.26
DAP1_0442	9.32
DAP1_0453	12.28
DAP1_0460	8.1
DAP1_0480	11.88
DAP1_0482	10.61
DAP1_0509	12.55
DAP1_0515	10.52
DAP1_0542	8.31
DAP1_0559	8.81
DAP1_0581	10.72
DAP1_0585	10.84
DAP1_0587	8.04
DAP1_0594	13.34
DAP1_0601	9.09
DAP1_0605	11.3
DAP1_0606	10.38
DAP1_0607	10.36
DAP1_0609	14.18
DAP1_0614	8.61
DAP1_0619	10.93
DAP1_0620	13.88
DAP1_0623	9.41
DAP1_0629	14.29
DAP1_0630	10.44
DAP1_0631	11.64
DAP1_0634	11.64
DAP1_0636	12.75
DAP1_0648	9.93
DAP1_0649	12.57
DAP1_0651	11.79
DAP1_0654	12.25
DAP1_0656	13.46
DAP1_0657	13.34
DAP1_0671	10.67
DAP1_0674	11.07
DAP1_0678	10.5
DAP1_0682	13.27
DAP1_0691	9.15
DAP1_0692	10.03
DAP1_0696	8.61
DAP1_0697	10.29
DAP1_0700	14.02
DAP1_0715	11.17
DAP1_0717	9.65
DAP1_0718	8.7
DAP1_0720	9.58
DAP1_0721	11.6
DAP1_0724	10.51
DAP1_0731	10.1
DAP1_0732	12.2
DAP1_0740	11.93
DAP1_0742	10.02
DAP1_0743	12.87
DAP1_0744	13.16
DAP1_0745	8.35
DAP1_0747	9.3
DAP1_0751	11.46
DAP1_0752	13.35
DAP1_0753	9.02
DAP1_0754	12.21
DAP1_0756	9.13
DAP1_0758	14.05
DAP1_0759	10.26
DAP1_0764	12.09
DAP1_0775	10.72
DAP1_0778	9.47
DAP1_0780	9.38
DAP1_0781	12.42
DAP1_0791	8.12
DAP1_0799	11.39
DAP1_0800	12.62
DAP1_0805	11.85
DAP1_0807	9.59
DAP1_0813	11.61
DAP1_0814	12.44
DAP1_0815	9.18
DAP1_0820	11.51
DAP1_0822	13.08
DAP1_0839	10.57
DAP1_0840	13.68
DAP1_0844	11.9
DAP1_0859	11.72
DAP1_0861	12.08
DAP1_0864	11.88
DAP1_0881	8.45
DAP1_0884	11.33
DAP1_0885	8.91
DAP1_0887	11.28
DAP1_0889	8.33
DAP1_0890	12.97
DAP1_0891	12.22
DAP1_0895	11.08
DAP1_0897	10.95
DAP1_0901	9.94
DAP1_0905	10.53
DAP1_0913	11.94
DAP1_0915	8.9
DAP1_0917	8.19
DAP1_0920	12.38
DAP1_0925	12.36
DAP1_0926	8.06
DAP1_0929	11.56
DAP1_0931	9.47
DAP1_0933	11.03
DAP1_0935	8.36
DAP1_0936	12.87
DAP1_0940	14.23
DAP1_0942	10.82
DAP1_0943	11.57
DAP1_0944	10.69
DAP1_0946	13.23
DAP1_0949	8.97
DAP1_0950	11.43
DAP1_0951	13.38
DAP1_0952	11.62
DAP1_0958	10.93
DAP1_0960	9.71
DAP1_0961	8.97
DAP1_0963	11.97
DAP1_0969	9.13
DAP1_0971	9.44
DAP1_0973	12.56
DAP1_0974	11.74
DAP1_0976	12.94
DAP1_0977	10.5
DAP1_0978	9.38
DAP1_0979	13.16
DAP1_0984	11.52
DAP1_0987	9.22
DAP1_0989	13.08
DAP1_0991	10.02
DAP1_0992	12.81
DAP1_1000	9.97
DAP1_1001	8.32
DAP1_1002	12.43
DAP1_1006	10.69
DAP1_1009	12.29
DAP1_1011	12.55
DAP1_1015	11.5
DAP1_1020	13.28
DAP1_1022	12.54
DAP1_1024	11.44
DAP1_1030	9.73
DAP1_1032	9.53
DAP1_1037	11.61
DAP1_1039	11.29
DAP1_1040	10.6
DAP1_1041	12.27
DAP1_1042	9.85
DAP1_1044	10.45
DAP1_1046	11.15
DAP1_1047	9.77
DAP1_1051	11.7
DAP1_1055	11.37
DAP1_1060	8.5
DAP1_1063	10.74
DAP1_1066	13.98
DAP1_1071	9
DAP1_1072	8.05
DAP1_1077	11.21
DAP1_1078	10.44
DAP1_1079	13.85
DAP1_1080	8.97
DAP1_1085	12
DAP1_1086	8.83
DAP1_1087	11.79
DAP1_1088	12.44
DAP1_1093	13.64
DAP1_1097	9.82
DAP1_1098	9.22
DAP1_1099	11.56
DAP1_1102	11.95
DAP1_1104	13.19
DAP1_1105	10.37
DAP1_1109	12.14
DAP1_1110	9.03
DAP1_1111	13.11
DAP1_1124	10.97
DAP1_1125	10.26
DAP1_1138	9.13
DAP1_1145	9.69
DAP1_1151	11.47
DAP1_1164	11.98
DAP1_1170	12.34
DAP1_1171	9.63
DAP1_1173	8.81
DAP1_1178	10.77
DAP1_1182	8.03
DAP1_1190	9.75
DAP1_1191	10.13
DAP1_1203	11.28
DAP1_1219	9.47
DAP1_1222	10.29
DAP1_1225	12.36
DAP1_1227	10.05
DAP1_1228	14.04
DAP1_1229	12.23
DAP1_1240	10.34
DAP1_1241	8.53
DAP1_1248	12.51
DAP1_1250	10.54
DAP1_1255	8.92
DAP1_1256	8.92
DAP1_1262	10.16
DAP1_1265	8.33
DAP1_1267	10.33
DAP1_1269	11.12
DAP1_1270	8.99
DAP1_1272	10.37
DAP1_1276	10.03
DAP1_1277	11.26
DAP1_1285	13.25
DAP1_1286	9.83
DAP1_1307	13.28
DAP1_1309	12.58
DAP1_1311	9.59
DAP1_1312	10.16
DAP1_1317	9.8
DAP1_1319	12.77
DAP1_1320	11.41
DAP1_1321	8.55
DAP1_1324	12.12
DAP1_1326	9.1
DAP1_1330	8.57
DAP1_1331	9.72
DAP1_1333	12.6
DAP1_1334	10.47
DAP1_1335	13.19
DAP1_1337	11.75
DAP1_1338	11.66
DAP1_1339	11.17
DAP1_1340	11.55
DAP1_1341	9.63
DAP1_1343	8.8
DAP1_1344	10.18
DAP1_1360	12.5
DAP1_1370	10.33
DAP1_1375	13.64
DAP1_1377	8.41
DAP1_1382	12.94
DAP1_1384	12.39
DAP1_1389	10.98
DAP1_1390	11.12
DAP1_1392	13.26
DAP1_1407	12.75
DAP1_1432	11.69
DAP1_1439	12.99
DAP1_1462	9.04
DAP1_1482	12.84
DAP1_1493	13.45
DAP1_1543	10.01
DAP1_1549	9.25
DAP1_1550	11.76
DAP1_1553	8.74
DAP1_1558	8.43
DAP1_1559	13.12
DAP1_1562	8.53
DAP1_1563	8.31
DAP1_1564	9.34
DAP1_1565	9.86
DAP1_1577	8.72
DAP1_1581	8.28
DAP1_1586	10.73
DAP1_1587	12.15
DAP1_1588	12.43
DAP1_1590	11.26
DAP1_1595	13.03
DAP1_1596	10.64
DAP1_1599	10.52
DAP1_1600	9.18
DAP1_1601	13.19
DAP1_1604	8.14
DAP1_1608	12.61
DAP1_1610	10.85
DAP1_1617	9.2
DAP1_1623	8.97
DAP1_1628	9.21
DAP1_1629	11.27
DAP1_1634	12.63
DAP1_1640	11.66
DAP1_1644	8.86
DAP1_1645	12.71
DAP1_1646	9.67
DAP1_1647	8.31
DAP1_1650	11.64
DAP1_1651	11.56
DAP1_1653	8.1
DAP1_1655	8.5
DAP1_1658	10.31
DAP1_1661	9.95
DAP1_1665	10.88
DAP1_1671	8.91
DAP1_1676	8.91
DAP1_1678	13.23
DAP1_1679	11.73
DAP1_1680	11.87
DAP1_1682	8.95
DAP1_1685	9.37
DAP1_1688	12.17
DAP1_1689	9.3
DAP1_1693	12.19
DAP1_1697	9.56
DAP1_1700	10.66
DAP1_1702	12.24
DAP1_1707	8.29
DAP1_1711	9.49
DAP1_1714	13.29
DAP1_1718	8.45
DAP1_1730	12.22
DAP1_1739	10.68
DAP1_1740	11.83
DAP1_1741	10.84
DAP1_1743	11.08
DAP1_1746	11.2
DAP1_1749	10.59
DAP1_1753	8.98
DAP1_1756	8.49
DAP1_1757	13.11
DAP1_1759	11.15
DAP1_1761	8.91
DAP1_1762	12.06
