V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
sam 1 1 1 1 0.916666666666667 0.666666666666667 1 1 1 0.972222222222222
geode 0.64 1 1 0.95 0.944444444444444 0.791666666666667 1 0.88 0.95 0.75
ref 1 1 1 1 0.861111111111111 0.666666666666667 1 1 1 0.972222222222222
chs 1 1 1 1 0.861111111111111 0.708333333333333 1 1 1 0.972222222222222
form_sam-geode 0.96 1 1 0.95 0.833333333333333 0.666666666666667 1 1 1 0.972222222222222
form_ref-chs 1 1 1 0.95 0.861111111111111 0.666666666666667 1 1 1 0.944444444444444
form_sam-geode-ref-chs 1 1 1 0.95 0.833333333333333 0.875 1 1 1 0.944444444444444
consensus_sam-geode 1 1 1 0.9 0.861111111111111 0.666666666666667 1 1 1 0.972222222222222
consensus_ref-chs 1 1 1 1 0.861111111111111 0.666666666666667 1 1 1 0.944444444444444
consensus_sam-geode-ref-chs 1 1 1 0.95 0.888888888888889 0.666666666666667 1 1 1 0.916666666666667
