fold	4 _features 	6 _features 	8 _features 	10 _features 	12 _features 	14 _features 	16 _features 	18 _features 	20 _features 	22 _features 	24 _features 	26 _features 	28 _features 	30 _features 	32 _features 	34 _features 	36 _features 	38 _features 	40 _features 	42 _features 	44 _features 	46 _features 	48 _features 	50 _features 
1	138.485999999999	94.2559999999994	94.3729999999996	87.262999999999	89.4779999999992	91.9569999999985	86.4900000000016	91.5609999999979	82.0120000000024	86.976999999999	86.8149999999987	89.0169999999998	89.0269999999982	89.7870000000003	81.7010000000009	92.7610000000022	86.4719999999979	89.768	89.1799999999967	83.7180000000008	82.0370000000003	84.0859999999957	85.6369999999952	85.4010000000053
2	91.4459999999999	92.9779999999992	91.3539999999994	135.645	102.169	97.7469999999994	91.369999999999	84.8880000000026	81.8550000000032	88.6340000000018	89.0390000000007	89.1010000000024	85.893	85.5430000000015	84.0380000000005	85.780999999999	86.6549999999988	91	84.2099999999991	83.9130000000005	81.2469999999994	83.8389999999999	85.3780000000042	84.0959999999977
3	91.3799999999992	89.8220000000001	96.2080000000005	130.626	140.130999999999	95.0619999999999	86.3070000000007	86.6440000000002	83.7910000000011	91.6179999999986	89.9960000000028	86.3279999999977	87.1450000000004	98.9089999999997	86.2649999999994	89.4190000000017	85.6819999999971	91.9749999999985	91.7949999999983	86.4979999999996	84.6349999999984	83.2860000000001	83.6869999999981	86.0849999999991
4	89.2620000000006	86.2909999999993	95.0119999999988	139.754000000001	148.605000000001	88.5069999999996	88.7799999999988	83.3770000000004	90.4039999999986	93.6150000000016	87.114999999998	86.7549999999974	86.030999999999	90.4150000000009	85.635000000002	85.2870000000003	86.8520000000026	86.9840000000004	91.0430000000015	85.4979999999996	83.3470000000016	85.7929999999978	86.0349999999962	85.6440000000002
5	90.5390000000007	98.2549999999992	97.7299999999996	132.341	136.688	86.8040000000001	91.2880000000005	85.8719999999994	89.2619999999988	89.2969999999987	94.5910000000003	89.5770000000011	85.4419999999991	89.1640000000007	87.8810000000012	87.1349999999984	90.1059999999998	89.2789999999986	87.4909999999982	80.4389999999985	84.3189999999995	84.5839999999953	85.5229999999938	85.7910000000047
6	97.0280000000002	116.49	96.5829999999987	98.0200000000004	113.520999999999	85.1920000000009	87.8189999999995	83.3770000000004	86.8480000000018	86.2989999999991	84.0290000000023	87.6630000000005	92.0709999999999	90.7700000000004	84.6539999999986	87.3499999999985	87.2139999999999	86.7429999999986	83.625	85.0409999999974	85.3679999999986	89.0500000000029	85.5210000000006	86.275999999998
7	101.803	99.8330000000005	89.4609999999993	89.6359999999986	91.3600000000006	86.0780000000013	86.3880000000026	86.8329999999987	90.3919999999998	80.5200000000004	87.9929999999986	90.2920000000013	86.3379999999997	85.5250000000015	89.7309999999998	87.3479999999981	85.4160000000011	88.8590000000004	85.4630000000034	83.1869999999981	83.6470000000008	84.2650000000067	82.6189999999988	85.4510000000009
8	95.3680000000004	85.8179999999993	95.1150000000016	89.0859999999993	88.5709999999999	83.7080000000005	89.0560000000005	84.898000000001	86.6680000000015	84.5799999999981	89.6340000000018	86.6450000000004	87.8109999999979	82.9480000000003	91.875	87.0580000000009	84.2200000000012	86.1949999999997	78.9330000000009	82.4590000000026	82.844000000001	83.6949999999997	82.0380000000005	82.8109999999942
9	101.286999999998	92.2099999999991	99.0820000000003	84.5660000000007	91.2600000000002	85.6369999999988	88.0989999999983	89.6850000000013	89.268	91.1880000000019	86.780999999999	86.6810000000005	88.0390000000007	83.525999999998	86.2229999999981	85.3179999999993	85.9720000000016	88.0750000000007	82.1310000000012	84.0770000000011	82.3110000000015	85.2220000000016	82.8029999999999	83.3700000000026
10	95.8989999999994	94.2790000000005	96.7209999999995	88.1860000000015	83.2950000000001	85.3119999999999	92.4760000000024	86.7340000000004	88.1450000000004	90.4969999999994	86.8889999999992	86.1049999999996	86.3780000000006	81.0060000000012	87.2259999999987	86.9739999999983	90.0479999999989	87.1400000000031	83.2719999999972	84.8389999999999	83.5650000000023	82.9910000000018	85.9750000000058	84.8810000000012
