fold	4 _features 	6 _features 	8 _features 	10 _features 	12 _features 	14 _features 	16 _features 	18 _features 	20 _features 	22 _features 	24 _features 	26 _features 	28 _features 	30 _features 	32 _features 	34 _features 	36 _features 	38 _features 	40 _features 	42 _features 	44 _features 	46 _features 	48 _features 	50 _features 
1	6.85399999999936	5.31400000000031	5.69100000000071	4.53999999999905	4.75699999999961	4.33199999999852	4.33000000000175	4.62100000000282	4.50700000000143	4.51699999999983	4.27599999999802	5.45400000000154	4.39500000000044	4.41999999999825	4.52700000000186	4.46299999999974	4.33799999999974	4.39099999999962	4.38200000000143	4.30900000000111	5.26699999999983	4.30299999999988	5.06399999999849	5.18600000000151
2	4.67799999999988	4.57099999999991	4.55600000000049	4.3640000000014	4.5510000000013	5.59499999999935	4.33199999999852	4.48500000000058	5.13799999999901	4.65600000000268	4.3640000000014	4.46700000000055	4.51200000000244	4.42599999999948	5.38999999999942	4.39100000000326	4.31200000000172	4.48399999999674	4.47499999999854	4.25700000000143	5.15999999999985	5.20799999999872	5.07400000000052	5.07200000000012
3	4.5	4.51699999999983	4.40200000000004	5.96600000000035	4.4989999999998	4.79899999999907	4.38299999999799	4.3650000000016	5.17900000000009	4.40700000000288	4.44399999999951	4.42400000000271	4.43500000000131	4.62400000000343	4.40999999999985	4.63600000000224	4.35399999999936	4.46899999999732	4.39300000000003	4.35699999999997	5.21799999999712	5.17900000000373	4.30099999999948	5.21399999999994
4	5.65999999999985	4.29899999999907	4.55400000000009	5.16200000000026	4.99699999999939	4.38900000000103	4.45999999999913	4.375	4.43299999999726	4.42900000000009	4.32500000000073	5.29300000000148	5.43000000000029	4.70100000000093	4.36000000000058	5.32600000000093	4.44399999999951	4.53399999999965	4.40399999999863	4.30499999999665	5.15000000000146	5.21600000000035	5.08000000000175	5.16500000000087
5	5.44800000000032	4.58100000000013	4.40200000000004	5.89500000000044	7.21599999999853	4.45399999999972	4.51399999999921	4.50400000000081	4.46299999999974	4.4989999999998	4.51500000000306	4.49199999999837	4.58799999999974	4.53600000000006	4.50800000000163	4.5	4.63600000000224	4.61100000000079	5.42399999999907	5.17299999999886	4.38199999999779	5.24700000000303	5.27899999999499	4.38999999999942
6	4.58900000000176	8.41100000000006	4.6969999999983	5.67400000000089	5.60399999999936	4.24799999999959	4.60999999999694	4.48199999999997	4.3650000000016	4.43600000000151	4.37700000000041	4.54699999999866	4.32600000000093	4.46199999999953	4.31900000000314	4.54599999999846	5.38500000000204	5.5099999999984	4.29000000000087	5.11100000000079	5.20799999999872	5.2589999999982	5.10299999999552	5.05900000000111
7	4.6820000000007	8.12199999999939	4.49700000000121	4.64500000000044	4.31400000000031	5.27800000000025	4.31000000000131	4.34400000000096	4.44899999999689	5.38800000000265	4.4539999999979	4.35599999999977	5.31199999999808	4.39099999999962	4.51800000000003	4.40899999999965	4.47600000000239	4.55600000000049	4.35900000000038	5.0580000000009	5.32300000000032	4.36300000000483	5.10199999999895	5.07800000000134
8	4.59299999999894	5.10400000000118	4.31500000000051	5.49399999999878	4.71499999999833	4.33500000000095	4.39400000000023	4.37099999999919	4.30099999999948	5.12299999999959	4.43500000000131	4.81399999999849	4.35099999999875	4.38300000000163	4.45699999999852	4.19499999999971	4.35300000000279	4.47800000000279	5.11299999999756	5.11900000000242	5.09299999999712	5.02899999999499	5.20200000000477	5.10299999999552
9	4.72299999999996	5.33899999999994	4.60800000000017	5.61100000000079	4.73199999999997	4.39899999999943	4.43099999999686	4.8839999999982	4.40600000000268	4.51499999999942	4.43700000000172	5.2510000000002	4.54899999999907	4.32800000000134	4.42199999999866	4.37900000000081	5.31999999999971	5.50400000000081	4.29099999999744	4.29300000000148	5.08000000000175	5.02799999999843	4.27599999999802	5.14700000000448
10	4.81900000000132	4.59799999999996	5.42199999999866	5.3760000000002	4.62700000000041	4.34400000000096	5.11000000000058	5.31199999999808	4.4519999999975	4.36599999999817	4.38300000000163	5.31100000000151	4.35299999999916	4.36800000000221	4.52199999999721	4.32600000000093	4.45499999999811	4.62099999999919	4.25500000000102	5.11700000000201	5.08100000000559	5.06399999999849	5.23999999999796	5.18400000000111
