fold	4 _features 	6 _features 	8 _features 	10 _features 	12 _features 	14 _features 	16 _features 	18 _features 	20 _features 	22 _features 	24 _features 	26 _features 	28 _features 	30 _features 	32 _features 	34 _features 	36 _features 	38 _features 	40 _features 	42 _features 	44 _features 	46 _features 	48 _features 	50 _features 
1	14.2800000000007	8.47299999999996	9.07099999999991	9.61000000000058	9.40899999999965	9.4900000000016	9.22699999999895	9.44099999999889	8.02999999999884	9.27600000000166	9.27400000000125	8.84599999999773	8.98400000000038	9.91300000000047	8.34399999999732	8.41600000000108	8.89700000000084	8.20100000000093	8.13100000000122	7.99399999999878	8.47899999999936	9.04500000000553	8.66800000000512	8.69700000000012
2	9.37299999999959	8.41600000000108	9.28900000000067	9.18399999999929	9.64999999999964	9.39500000000044	9.24600000000282	8.47799999999916	7.79599999999846	9.33299999999872	9.41100000000006	9.13799999999901	9.43899999999849	9.34599999999773	8.13000000000102	9.23199999999997	9.28199999999924	9.35000000000218	8.45900000000256	9.51800000000003	7.85900000000038	8.56700000000274	8.71800000000076	8.6449999999968
3	9.24099999999999	9.41700000000128	8.99599999999919	10.2099999999991	9.45800000000054	9.81900000000132	9.95100000000093	8.11599999999817	7.8080000000009	9.31399999999849	9.50599999999758	9.01399999999921	9.29999999999927	9.74299999999857	9.16000000000349	9.47099999999773	8.99500000000262	9.33000000000175	8.26399999999921	8.97799999999916	7.90200000000186	8.61199999999371	9.07800000000134	8.71699999999691
4	9.1880000000001	8.04700000000048	9.44700000000012	9.25300000000061	9.85800000000017	9.95299999999952	7.98099999999977	8.03299999999945	8.10000000000218	10.0570000000007	9.33699999999953	8.71399999999994	9.15200000000186	9.40999999999985	9.1339999999982	9.13999999999942	9.27799999999843	9.12700000000041	9.17299999999886	9.27500000000146	7.75599999999758	8.61899999999878	8.6820000000007	8.66199999999662
5	10.146999999999	9.54399999999987	9.44700000000012	10.0169999999998	9.84300000000076	9.45100000000093	9.44399999999951	8.04999999999927	9.42499999999927	8.28100000000268	10.377999999997	9.27000000000044	9.11000000000058	10.0679999999993	9.03299999999945	9.81999999999971	9.49399999999878	8.24399999999878	9.23800000000119	8.84800000000178	8.02100000000064	8.79400000000169	8.80100000000675	9.0789999999979
6	9.70799999999872	13.25	10.0060000000012	9.10199999999895	10.7380000000012	9.35499999999956	9.54900000000271	8.64000000000306	9.14899999999761	8.10199999999895	8.17199999999866	9.27500000000146	9.46500000000015	9.20200000000114	9.03199999999924	9.27100000000064	10.1759999999995	8.93900000000212	9.21299999999974	8.2390000000014	8.6730000000025	8.68299999999726	8.82600000000093	8.99599999999919
7	9.63799999999901	10.6630000000005	9.42799999999988	9.19900000000052	10.2459999999992	9.09199999999873	8.05099999999948	8.11599999999817	8.82300000000032	8.0109999999986	8.26200000000244	9.28199999999924	9.22000000000116	9.08699999999953	8.31999999999971	9.28900000000067	9.38799999999901	9.22799999999916	9.07499999999709	8.74399999999878	8.67799999999988	8.20899999999529	8.52100000000064	8.68600000000151
8	9.6239999999998	8.77599999999984	9.11899999999878	8.29900000000089	9.0580000000009	9.36299999999937	8.20599999999831	9.25900000000183	8.18700000000172	7.86000000000058	9.35099999999875	9.43500000000131	9.25700000000143	9.0109999999986	9.98500000000058	9.0109999999986	8.02899999999863	9.24199999999837	8.66600000000108	8.48599999999715	8.44000000000233	8.64700000000448	7.84399999999732	8.69400000000314
9	9.57600000000093	9.93900000000031	9.4380000000001	8.33799999999974	9.5630000000001	8.35900000000038	8.30100000000311	9.3070000000007	10.0360000000001	9.3070000000007	9.23300000000017	8.83099999999831	9.65199999999822	8.62299999999959	9.56300000000192	9.0580000000009	8.0580000000009	8.15699999999924	7.89800000000105	8.9429999999993	8.68600000000151	8.56699999999546	8.63000000000466	8.69999999999709
10	10.7019999999993	9.57999999999993	10.1660000000011	9.05999999999949	9.3130000000001	9.17900000000009	9.11699999999837	9.99200000000201	9.48500000000058	9.45100000000093	9.04899999999907	7.9419999999991	9.2599999999984	8.34899999999834	9.52500000000146	9.27000000000044	8.5470000000023	9.36799999999857	7.9890000000014	8.67799999999988	7.74899999999616	8.73500000000058	8.56599999999889	8.77700000000186
