fold	4 _features 	6 _features 	8 _features 	10 _features 	12 _features 	14 _features 	16 _features 	18 _features 	20 _features 	22 _features 	24 _features 	26 _features 	28 _features 	30 _features 	32 _features 	34 _features 	36 _features 	38 _features 	40 _features 	42 _features 	44 _features 	46 _features 	48 _features 	50 _features 
1	13.5650000000005	8.5669999999991	9.9419999999991	9.26600000000144	10.3110000000015	8.5510000000013	8.69700000000012	10.4120000000003	7.71999999999753	9.20799999999872	9.44599999999991	9.02800000000207	8.97299999999814	8.61999999999898	7.71700000000055	9.08399999999892	8.68400000000111	7.67199999999866	7.49199999999837	7.33499999999913	8.17099999999846	8.6559999999954	8.61200000000099	8.05000000000291
2	9.07400000000052	7.80199999999968	9.97099999999955	8.60499999999956	9.128999999999	9.60000000000036	8.72000000000116	8.72899999999936	7.82700000000114	9.24099999999817	8.84000000000015	8.98500000000058	8.90399999999863	8.90799999999945	8.65599999999904	8.75499999999738	8.46399999999994	9.12300000000323	7.65100000000166	8.08799999999974	7.92599999999948	8.58499999999913	8.66599999999744	8.64600000000064
3	8.63299999999981	8.59599999999955	8.26400000000103	12.2309999999998	9.03299999999945	9.61599999999999	8.82500000000073	8.44700000000012	7.90099999999802	8.94899999999689	8.91600000000108	8.92599999999948	8.35199999999895	9.35499999999956	9.53099999999904	9.34699999999793	9.00400000000081	9.19000000000233	7.53100000000268	8.20700000000215	7.62900000000081	8.73599999999715	8.73300000000017	8.74200000000565
4	9.6239999999998	8.29000000000087	8.94300000000112	9.94100000000071	9.59100000000035	8.55199999999968	7.64199999999983	7.42000000000189	7.64300000000003	8.88099999999758	8.54799999999886	8.98099999999977	9.59699999999793	9.13799999999901	9.44700000000012	9.35199999999895	8.97999999999956	8.63100000000122	8.14800000000105	8.18500000000131	7.5010000000002	8.93600000000151	8.70500000000175	8.89500000000407
5	9.58799999999974	8.81500000000051	8.6309999999994	10.2800000000007	10.8170000000009	8.92599999999948	9.21800000000076	7.73600000000079	9.00500000000102	7.67499999999927	9.04099999999744	8.99199999999837	10.5600000000013	8.71500000000015	8.68000000000029	8.70000000000073	9.04099999999744	8.34800000000178	9.17900000000009	8.41500000000087	7.3760000000002	8.75	8.62600000000384	8.41599999999744
6	9.39300000000003	13.853000000001	9.14600000000064	10.369999999999	12.8529999999992	8.89200000000164	9.13000000000102	7.38099999999758	8.69399999999951	7.53499999999985	7.67099999999846	9.67399999999907	9.09999999999854	8.37800000000061	8.47199999999793	7.86800000000221	9.50199999999677	9.59600000000137	8.35499999999956	7.52200000000084	8.58399999999892	9.14700000000448	8.77200000000448	8.56599999999889
7	9.42200000000048	12.1360000000004	8.92000000000007	9.06099999999969	9.30099999999948	9.0630000000001	7.54899999999907	7.40200000000186	7.4910000000018	9.03700000000026	7.72799999999916	8.96500000000015	9.01399999999921	8.50600000000122	7.60499999999956	7.84400000000096	9.20799999999872	9.94700000000012	8.35299999999916	8.61000000000058	9.06899999999951	8.78799999999319	8.70599999999831	8.62999999999738
8	10.2790000000005	9.06099999999969	8.45900000000074	8.05500000000029	8.77100000000064	9.55400000000009	7.97000000000116	8.94700000000012	7.90499999999884	7.82300000000032	9.70899999999892	8.98300000000017	8.94800000000032	8.22599999999875	9.18800000000192	8.51699999999983	7.55599999999686	9.71399999999994	8.13799999999901	8.49699999999939	8.40400000000227	8.2960000000021	7.57299999999668	8.76900000000023
9	9.51800000000003	9.27599999999984	8.8799999999992	7.79599999999846	8.66500000000087	8.67300000000068	7.66100000000006	9.85499999999956	9.45899999999892	7.38200000000143	8.86899999999878	9.29100000000108	8.63900000000285	7.58299999999872	8.71099999999933	8.78199999999924	7.59400000000096	8.74399999999878	7.22999999999956	8.3760000000002	8.60800000000017	8.458000000006	8.23199999999633	8.69099999999889
10	9.76299999999901	9.13199999999961	9.74700000000121	9.1309999999994	9.47999999999956	8.60699999999997	9.1349999999984	8.86000000000058	8.95000000000073	9	8.53900000000067	9.15699999999924	8.7960000000021	7.84100000000035	9.41200000000026	8.49199999999837	7.66900000000169	9.23400000000038	7.48599999999715	8.66200000000026	7.59300000000076	8.84300000000076	9.18800000000192	8.78399999999965
